#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время на метеостанции им. М.В.Попова"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""15.05.2023 14:00"";""-3.6"";""743.9"";""744.4"";""2.1"";""93"";""Ветер, дующий с северо-северо-запада"";""10"";""13"";""13"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.9"";""-4.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.05.2023 11:00"";""-2.9"";""741.8"";""742.3"";""0.9"";""93"";""Ветер, дующий с северо-запада"";""10"";""13"";""13"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-3.0"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.2"";""-3.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.05.2023 08:00"";""-1.4"";""740.9"";""741.4"";""0.4"";""93"";""Ветер, дующий с северо-запада"";""6"";"""";""11"";""100%."";""Снег неливневый. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-1.7"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""200-300"";""Высококучевые просвечивающие, расположенные на одном уровне."";"""";""8.0"";""-2.4"";""0.1"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""88.0""",,,,,,
"""15.05.2023 05:00"";""-1.6"";""740.5"";""741.1"";""-0.1"";""95"";""Ветер, дующий с западо-северо-запада"";""8"";""10"";""10"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";"""";""8.0"";""-2.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""15.05.2023 02:00"";""-1.0"";""740.6"";""741.1"";""-0.4"";""94"";""Ветер, дующий с западо-северо-запада"";""7"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-1.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 23:00"";""-0.5"";""741.0"";""741.5"";""-0.8"";""96"";""Ветер, дующий с запада"";""7"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-1.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 20:00"";""0.2"";""741.8"";""742.3"";""-2.3"";""99"";""Ветер, дующий с запада"";""7"";"""";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Дождь со снегом или другими видами твердых осадков"";""Туман или ледяной туман или сильная мгла."";"""";""0.2"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""9.0"";""0.1"";""0.4"";""12"";"""";"""";"""";""""",,,,,,
"""14.05.2023 17:00"";""-1.2"";""744.1"";""744.7"";""-4.3"";""99"";""Ветер, дующий с юго-юго-запада"";""8"";"""";""14"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.9"";""-1.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 14:00"";""-4.2"";""748.4"";""748.9"";""-3.9"";""95"";""Ветер, дующий с юга"";""11"";""13"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""1000-1500"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.8"";""-4.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 11:00"";""-5.9"";""752.3"";""752.9"";""-2.9"";""90"";""Ветер, дующий с юго-юго-запада"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-слоистые, покрывающие все небо."";""19.0"";""-7.3"";"""";"""";"""";"""";"""";""""",,,,,,
