#,Unnamed: 1
"""Местное время в Мурманске"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""15.05.2023 12:00"";""19.2"";""757.3"";""761.8"";""-0.9"";""33"";""Ветер, дующий с юго-запада"";""3"";""5"";""7"";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""2.4"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 09:00"";""14.4"";""758.2"";""762.8"";""-0.7"";""48"";""Ветер, дующий с юго-юго-востока"";""2"";""3"";"""";""20–30%."";"" "";"""";"""";""7.0"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""3.3"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""Снежный покров не постоянный.""",
"""15.05.2023 06:00"";""8.6"";""758.9"";""763.6"";""0.4"";""69"";""Штиль, безветрие"";""0"";"""";"""";""40%."";"" "";"""";"""";""7.0"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""3.2"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""15.05.2023 03:00"";""8.9"";""758.5"";""763.2"";""0.0"";""66"";""Ветер, дующий с юго-юго-запада"";""3"";""4"";""5"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""2.8"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 00:00"";""10.4"";""758.5"";""763.1"";""-0.2"";""56"";""Ветер, дующий с юго-юго-запада"";""2"";""3"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""1.9"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 21:00"";""12.7"";""758.7"";""763.3"";""-0.5"";""44"";""Ветер, дующий с юго-юго-запада"";""1"";""2"";""7"";""90  или более, но не 100%"";"" "";"""";"""";"""";""14.0"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""0.7"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""14.05.2023 18:00"";""13.6"";""759.2"";""763.9"";""-0.4"";""42"";""Ветер, дующий с запада"";""3"";""4"";""7"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые, образовавшиеся из кучевых (или кучево-дождевых)."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""50.0"";""0.7"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""14.05.2023 15:00"";""13.4"";""759.6"";""764.2"";""0.2"";""43"";""Ветер, дующий с запада"";""3"";""5"";""8"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""20–30%."";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""50.0"";""1.0"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 12:00"";""11.9"";""759.4"";""764.0"";""0.4"";""48"";""Ветер, дующий с запада"";""3"";""5"";""7"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""10%  или менее, но не 0"";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""1.1"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 09:00"";""10.1"";""759.0"";""763.6"";""0.2"";""54"";""Ветер, дующий с западо-юго-запада"";""3"";""5"";""7"";""90  или более, но не 100%"";"" "";"""";"""";""8.2"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""1.2"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""Снежный покров не постоянный.""",
