#,Unnamed: 1
"""Местное время на мысе Канин Нос"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""15.05.2023 12:00"";""4.4"";""759.4"";""763.9"";""0.4"";""82"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""1.6"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 09:00"";""1.7"";""759.0"";""763.5"";""-0.1"";""94"";""Ветер, дующий с юго-юго-востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""0.9"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 06:00"";""2.2"";""759.1"";""763.6"";""-0.3"";""91"";""Ветер, дующий с юго-юго-востока"";""6"";"""";"""";""100%."";"" "";"""";"""";""0.8"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""0.9"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""60.0""",
"""15.05.2023 03:00"";""2.3"";""759.4"";""763.9"";""-0.1"";""91"";""Ветер, дующий с юга"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""1000-1500"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""0.9"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 00:00"";""1.1"";""759.5"";""764.1"";""0.0"";""95"";""Ветер, дующий с юго-юго-запада"";""2"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""0.4"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 21:00"";""1.7"";""759.5"";""764.0"";""0.1"";""95"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""50%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""1.0"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 18:00"";""2.9"";""759.4"";""763.9"";""0.3"";""91"";""Ветер, дующий с западо-юго-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";""3.7"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""50%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перисто-слоистые, покрывающие все небо."";""20.0"";""1.5"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""14.05.2023 15:00"";""3.7"";""759.1"";""763.5"";""0.8"";""88"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перисто-слоистые, покрывающие все небо."";""20.0"";""1.9"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 12:00"";""3.0"";""758.3"";""762.8"";""0.6"";""91"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""1.6"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 09:00"";""3.5"";""757.7"";""762.2"";""-0.6"";""87"";""Ветер, дующий с юга"";""5"";"""";""11"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""1.5"";"""";"""";"""";"""";"""";""""",
