#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""15.05.2023 12:00"";""5.4"";""764.6"";""765.0"";""0.3"";""81"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""14.0"";""2.3"";"""";"""";"""";"""";"""";"""""
"""15.05.2023 09:00"";""3.6"";""764.3"";""764.7"";""0.2"";""88"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""1.8"";"""";"""";"""";"""";"""";"""""
"""15.05.2023 06:00"";""2.5"";""764.1"";""764.5"";""0.4"";""87"";""Ветер, дующий с запада"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""0.8"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""0.6"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""1.0"""
"""15.05.2023 03:00"";""1.4"";""763.7"";""764.1"";""0.3"";""92"";""Ветер, дующий с запада"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""0.3"";"""";"""";"""";"""";"""";"""""
"""15.05.2023 00:00"";""1.2"";""763.4"";""763.8"";""0.1"";""93"";""Ветер, дующий с запада"";""5"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""0.2"";"""";"""";"""";"""";"""";"""""
"""14.05.2023 21:00"";""1.9"";""763.3"";""763.7"";""0.2"";""91"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""0.5"";"""";"""";"""";"""";"""";"""""
"""14.05.2023 18:00"";""2.8"";""763.1"";""763.5"";""0.1"";""89"";""Ветер, дующий с запада"";""6"";"""";""12"";""90  или более, но не 100%"";"" "";"""";"""";"""";""6.0"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""1.1"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""14.05.2023 15:00"";""4.1"";""763.0"";""763.3"";""-0.1"";""84"";""Ветер, дующий с западо-юго-запада"";""9"";"""";""19"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""1.6"";"""";"""";"""";"""";"""";"""""
"""14.05.2023 12:00"";""5.3"";""763.1"";""763.5"";""-0.8"";""77"";""Ветер, дующий с западо-юго-запада"";""14"";""18"";""22"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""1.5"";"""";"""";"""";"""";"""";"""""
"""14.05.2023 09:00"";""3.0"";""763.9"";""764.3"";""-1.9"";""83"";""Ветер, дующий с юго-запада"";""13"";""16"";""17"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""0.4"";"""";"""";"""";"""";"""";"""""
