#,Unnamed: 1
"""Местное время в Амдерме"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""15.05.2023 12:00"";""-0.3"";""749.7"";""754.7"";""0.8"";""87"";""Ветер, дующий с западо-северо-запада"";""9"";"""";""16"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""17.0"";""-2.3"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 09:00"";""-0.2"";""748.9"";""753.8"";""1.0"";""83"";""Ветер, дующий с западо-северо-запада"";""9"";""13"";""16"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""19.0"";""-2.7"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 06:00"";""-0.3"";""747.9"";""752.9"";""0.5"";""85"";""Ветер, дующий с северо-запада"";""8"";""13"";"""";""100%."";"" "";"""";"""";""-0.4"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""19.0"";""-2.5"";""Следы осадков"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""18.0""",
"""15.05.2023 03:00"";""-0.2"";""747.4"";""752.3"";""0.1"";""87"";""Ветер, дующий с западо-северо-запада"";""9"";""13"";""17"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""18.0"";""-2.1"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 00:00"";""0.2"";""747.3"";""752.2"";""-0.1"";""88"";""Ветер, дующий с западо-северо-запада"";""9"";"""";""16"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""11.0"";""-1.6"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 21:00"";""0.6"";""747.4"";""752.4"";""-0.7"";""94"";""Ветер, дующий с западо-северо-запада"";""9"";"""";""17"";""100%."";""Морось (незамерзающая) или снежные зерна неливневые. "";""Морось."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""9.0"";""-0.2"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 18:00"";""0.7"";""748.1"";""753.1"";""-0.8"";""99"";""Ветер, дующий с запада"";""12"";""16"";""20"";""100%."";""Дымка. "";""Морось."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""0.7"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""50-100"";"""";"""";""4.5"";""0.5"";""0.1"";""12"";"""";"""";"""";""""",
"""14.05.2023 15:00"";""0.6"";""748.9"";""753.9"";""-2.7"";""96"";""Ветер, дующий с запада"";""15"";""20"";""25"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Буря"";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""11.0"";""0.0"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 12:00"";""-0.2"";""751.6"";""756.7"";""-2.2"";""94"";""Ветер, дующий с западо-юго-запада"";""16"";""20"";""21"";""100%."";""Ливневая снежная крупа или небольшой град с дождем или без него, или дождь со снегом слабые в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""8.0"";""-1.0"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 09:00"";""-1.0"";""753.8"";""758.8"";""-2.5"";""94"";""Ветер, дующий с западо-юго-запада"";""14"";""18"";""18"";""100%."";""Ливневая снежная крупа или небольшой град с дождем или без него, или дождь со снегом слабые в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""10.0"";""-1.8"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 06:00"";""-1.9"";""756.3"";""761.4"";""-1.6"";""94"";""Ветер, дующий с западо-юго-запада"";""9"";"""";""13"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-5.1"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""12.0"";""-2.8"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""18.0""",
"""14.05.2023 03:00"";""-3.4"";""757.9"";""763.0"";""-0.9"";""84"";""Ветер, дующий с запада"";""7"";""10"";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-5.7"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 00:00"";""-5.0"";""758.8"";""763.9"";""-0.5"";""86"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-7.0"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 21:00"";""-4.7"";""759.3"";""764.4"";""-4.2"";""85"";""Ветер, дующий с запада"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""10%  или менее, но не 0"";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-6.8"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 18:00"";""-4.4"";""763.5"";""768.7"";""5.7"";""83"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""-3.5"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.9"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""13.05.2023 15:00"";""-3.0"";""757.8"";""762.9"";""2.6"";""68"";""Ветер, дующий с севера"";""7"";""10"";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-8.1"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 12:00"";""-3.1"";""755.2"";""760.3"";""3.4"";""66"";""Ветер, дующий с севера"";""9"";""11"";""14"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-8.7"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 09:00"";""-1.6"";""751.8"";""756.8"";""1.7"";""87"";""Ветер, дующий с севера"";""10"";""13"";""13"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.5"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 06:00"";""0.1"";""750.1"";""755.1"";""-0.2"";""91"";""Ветер, дующий с запада"";""6"";"""";""11"";""100%."";"" "";"""";"""";""-4.8"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""20.0"";""-1.2"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""20.0""",
"""13.05.2023 03:00"";""-3.2"";""750.3"";""755.4"";""-1.6"";""90"";""Ветер, дующий с юго-юго-запада"";""8"";"""";""12"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.7"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 00:00"";""-4.0"";""751.9"";""757.0"";""-2.0"";""86"";""Ветер, дующий с юга"";""10"";""11"";""13"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""50%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-6.0"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 21:00"";""-3.3"";""753.9"";""758.9"";""-1.7"";""84"";""Ветер, дующий с юга"";""10"";""11"";""13"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-5.7"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 18:00"";""-1.6"";""755.6"";""760.6"";""-2.3"";""83"";""Ветер, дующий с юга"";""10"";""11"";""12"";""10%  или менее, но не 0"";"" "";"""";"""";"""";""-1.3"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-4.2"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""12.05.2023 15:00"";""-1.4"";""757.9"";""762.9"";""-1.3"";""82"";""Ветер, дующий с юга"";""9"";""10"";""13"";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";""-4.1"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 12:00"";""-1.7"";""759.2"";""764.3"";""-0.9"";""84"";""Ветер, дующий с юго-юго-востока"";""10"";""11"";""12"";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""19.0"";""-4.1"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 09:00"";""-2.7"";""760.1"";""765.2"";""-1.3"";""86"";""Ветер, дующий с юга"";""10"";""12"";""13"";""10%  или менее, но не 0"";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.7"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 06:00"";""-6.3"";""761.4"";""766.6"";""-1.2"";""87"";""Ветер, дующий с юго-востока"";""8"";"""";""10"";""Облаков нет."";"" "";"""";"""";""-7.0"";"""";"""";"""";"""";"""";"""";""20.0"";""-8.1"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""20.0""",
"""12.05.2023 03:00"";""-6.6"";""762.6"";""767.8"";""-0.3"";""91"";""Ветер, дующий с юго-востока"";""7"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-7.8"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 00:00"";""-5.4"";""762.9"";""768.1"";""-0.1"";""89"";""Ветер, дующий с юго-востока"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-6.9"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 21:00"";""-5.1"";""763.0"";""768.1"";""-0.5"";""92"";""Ветер, дующий с востоко-юго-востока"";""6"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-6.2"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 18:00"";""-4.4"";""763.5"";""768.7"";""-0.1"";""83"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""-3.5"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.9"";""Следы осадков"";""12"";"""";"""";"""";""""",
