#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"""Местное время в Усть-Каре"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,,,
"""15.05.2023 12:00"";""0.3"";""753.0"";"""";"""";""84"";""Ветер, дующий с запада"";""13"";""18"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.05.2023 09:00"";""0.5"";""752.0"";"""";"""";""83"";""Ветер, дующий с запада"";""14"";""18"";"""";""40%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.05.2023 06:00"";""0.2"";""751.0"";"""";"""";""86"";""Ветер, дующий с запада"";""13"";""18"";"""";""100%."";"" "";"""";"""";""0.1"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""15.05.2023 03:00"";""0.4"";""751.0"";"""";"""";""85"";""Ветер, дующий с запада"";""12"";""17"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.05.2023 00:00"";""0.9"";""751.0"";"""";"""";""87"";""Ветер, дующий с запада"";""12"";""15"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 21:00"";""1.1"";""752.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""1"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 18:00"";""0.9"";""753.0"";"""";"""";""97"";""Ветер, дующий с юго-запада"";""12"";""21"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""0.9"";"""";"""";"""";"""";"""";""10.0"";"""";""0.3"";""12"";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 15:00"";""0.1"";""755.0"";"""";"""";""96"";"""";"""";"""";"""";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 12:00"";""-0.4"";""758.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""11"";""15"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 09:00"";""-1.5"";""760.0"";"""";"""";""96"";""Ветер, дующий с юго-запада"";""9"";""12"";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""2.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 06:00"";""-2.5"";""762.0"";"""";"""";""87"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""100%."";"" "";"""";"""";""-7.8"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""51.0""",,,,,,,,
"""14.05.2023 03:00"";""-6.4"";""763.0"";""763.3"";"""";""89"";""Ветер, дующий с юга"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.9"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""14.05.2023 00:00"";""-7.4"";""763.0"";"""";"""";""88"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 21:00"";""-7.0"";""763.0"";"""";"""";""87"";""Ветер, дующий с юго-запада"";""4"";""10"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 18:00"";""-4.8"";""762.0"";"""";"""";""81"";""Ветер, дующий с северо-запада"";""7"";""14"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""1.1"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 15:00"";""-3.3"";""760.0"";"""";"""";""80"";""Ветер, дующий с северо-запада"";""10"";""14"";"""";""60%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 12:00"";""-2.1"";""757.0"";"""";"""";""84"";""Ветер, дующий с северо-запада"";""11"";""14"";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 09:00"";""0.9"";""754.0"";"""";"""";""94"";""Ветер, дующий с запада"";""7"";"""";"""";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 06:00"";""0.5"";""755.0"";"""";"""";""88"";""Ветер, дующий с юга"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-7.5"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""54.0""",,,,,,,,
