#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время в Ходоварихе"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""15.05.2023 12:00"";""0.6"";""761.0"";"""";"""";""91"";""Ветер, дующий с запада"";""9"";""11"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""15.05.2023 09:00"";""0.5"";""760.0"";"""";"""";""93"";""Ветер, дующий с запада"";""1"";""11"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""15.05.2023 06:00"";""0.4"";"""";"""";"""";""95"";""Ветер, дующий с запада"";""9"";""18"";"""";"""";"" "";"""";"""";""0.3"";"""";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""15.05.2023 00:00"";""0.8"";""759.0"";"""";"""";""93"";""Ветер, дующий с запада"";""9"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 21:00"";""0.7"";""758.0"";"""";"""";""95"";""Ветер, дующий с запада"";""9"";""16"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 18:00"";""1.1"";""758.0"";"""";"""";""94"";""Ветер, дующий с запада"";""10"";""13"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""1.7"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""14.05.2023 15:00"";""0.8"";""759.0"";"""";"""";""94"";""Ветер, дующий с запада"";""11"";""14"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 12:00"";""1.6"";"""";"""";"""";""90"";""Ветер, дующий с юго-запада"";""14"";""17"";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""14.05.2023 09:00"";""0.8"";"""";"""";"""";""92"";""Ветер, дующий с юго-запада"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
