#,Unnamed: 1
"""Местное время в Варандее"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""15.05.2023 12:00"";""0.5"";""759.1"";""759.7"";""1.5"";""90"";""Ветер, дующий с запада"";""9"";""12"";""14"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""-1.0"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 09:00"";""0.6"";""757.6"";""758.2"";""0.7"";""90"";""Ветер, дующий с запада"";""11"";""14"";""15"";""100%."";""Дымка. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""4.0"";""-0.8"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 06:00"";""0.4"";""756.9"";""757.5"";""0.5"";""94"";""Ветер, дующий с запада"";""11"";""14"";""15"";""100%."";""Дождь незамерзающий непрерывный слабый в срок наблюдения. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""0.4"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""10.0"";""-0.5"";""Следы осадков"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""43.0""",
"""15.05.2023 03:00"";""0.7"";""756.4"";""757.0"";""0.3"";""89"";""Ветер, дующий с запада"";""12"";""15"";""17"";""100%."";""Состояние неба в общем не изменилось. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.9"";"""";"""";"""";"""";"""";""""",
"""15.05.2023 00:00"";""0.8"";""756.1"";""756.7"";""-0.3"";""93"";""Ветер, дующий с запада"";""11"";""14"";""15"";""100%."";""Состояние неба в общем не изменилось. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.2"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 21:00"";""1.0"";""756.4"";""757.0"";""-0.4"";""94"";""Ветер, дующий с запада"";""11"";""14"";""18"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""0.1"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 18:00"";""0.9"";""756.8"";""757.4"";""-0.8"";""96"";""Ветер, дующий с западо-юго-запада"";""10"";""13"";""18"";""100%."";"" "";"""";"""";"""";""1.8"";""Слоисто-кучевые, образовавшиеся из кучевых."";""100%."";""1000-1500"";"""";"""";""10.0"";""0.3"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""14.05.2023 15:00"";""1.7"";""757.6"";""758.2"";""-2.1"";""89"";""Ветер, дующий с западо-юго-запада"";""14"";""17"";""18"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""0.0"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 12:00"";""0.7"";""759.7"";""760.0"";""-2.4"";""90"";""Ветер, дующий с юго-юго-запада"";""13"";""16"";""17"";"""";"" "";"""";"""";"""";"""";"""";"""";""1500-2000"";"""";"""";"""";""-0.8"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 09:00"";""-0.4"";""762.1"";""762.5"";""-1.7"";""90"";""Ветер, дующий с юго-запада"";""12"";""14"";""14"";"""";"" "";"""";"""";"""";"""";"""";"""";""300-600"";"""";"""";"""";""-1.8"";"""";"""";"""";"""";"""";""""",
